id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Dusty Boots,Cactus Miles,country,happy,0.61,104,0.88,0.72,0.74
12,Block by Block,Raze MC,hip-hop,intense,0.85,96,0.62,0.91,0.07
13,Moonlight Sonata Remix,Echo Klassik,classical,relaxed,0.22,66,0.74,0.30,0.97
14,Golden Hour,Soleil R,r&b,moody,0.58,88,0.73,0.77,0.38
15,Drop Zone,Bass Cartel,edm,intense,0.96,140,0.55,0.95,0.03
16,Iron Curtain,Void Hammer,metal,intense,0.98,168,0.30,0.50,0.05
17,Island Pulse,Tropic Shade,reggae,chill,0.50,85,0.85,0.69,0.62
18,Late Night Feels,Velvet Knox,r&b,chill,0.45,76,0.68,0.65,0.44
